,Industry,Region,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Known Vulnerabilities,External Advisor,Risk
5225,TELECOM,SOUTH AMERICA,1157748,16,11,5025095,1,YES,MEDIUM
5226,ECOMMERCE,EUROPE,1339923,45,4,5107021,3,NO,LOW
5227,FINANCIAL SERVICES,SOUTH AMERICA,891742,25,17,5002343,7,NO,MEDIUM
5228,TELECOM,AFRICA,264132,47,49,4979927,7,YES,HIGH
5229,OTHER,EUROPE,844363,26,49,4956074,4,YES,MEDIUM
5230,EDUCATION,SOUTH AMERICA,189298,45,46,4998513,9,YES,HIGH
5231,TELECOM,ASIA,1428785,8,11,4937597,6,NO,LOW
5232,AUTOMOTIVE,EUROPE,508377,18,12,5033500,9,NO,LOW
5233,FINANCIAL SERVICES,ASIA,550146,36,23,4995881,7,NO,MEDIUM
5234,ECOMMERCE,AFRICA,229160,1,38,4939437,4,YES,MEDIUM
5235,EDUCATION,SOUTH AMERICA,1091849,43,0,5047004,9,YES,HIGH
5236,OTHER,SOUTH AMERICA,980086,25,32,4866553,4,NO,LOW
5237,OTHER,AFRICA,897392,11,38,5078121,2,NO,LOW
5238,TELECOM,AFRICA,531584,43,45,4908661,1,NO,LOW
5239,AUTOMOTIVE,EUROPE,323673,2,36,5022592,4,NO,LOW
5240,FINANCIAL SERVICES,SOUTH AMERICA,506112,11,25,4993513,0,YES,MEDIUM
5241,OTHER,ASIA,198107,6,47,5013860,8,YES,MEDIUM
5242,HEALTHCARE,NORTH AMERICA,382065,45,16,4960225,9,YES,HIGH
5243,OTHER,ASIA,641542,47,11,4966056,3,YES,MEDIUM
5244,EDUCATION,AFRICA,582275,30,47,4962241,5,NO,LOW
5245,AUTOMOTIVE,AFRICA,1066843,17,0,4897015,6,NO,LOW
5246,TELECOM,EUROPE,592846,9,25,5069285,8,YES,HIGH
5247,OTHER,AFRICA,868732,47,5,4993087,1,YES,MEDIUM
5248,TELECOM,NORTH AMERICA,43800,32,29,4872195,0,YES,HIGH
5249,EDUCATION,EUROPE,199236,27,32,5051979,9,YES,HIGH
5250,ECOMMERCE,NORTH AMERICA,1301150,31,23,4988074,2,YES,MEDIUM
5251,HEALTHCARE,ASIA,1344483,24,39,5003705,6,NO,LOW
5252,AUTOMOTIVE,AFRICA,1277116,27,41,4986276,2,NO,LOW
5253,ECOMMERCE,SOUTH AMERICA,1209376,44,12,5034683,0,NO,LOW
5254,OTHER,EUROPE,1141175,24,28,5017723,6,YES,MEDIUM
5255,ECOMMERCE,EUROPE,939632,45,43,5144561,7,NO,MEDIUM
5256,TELECOM,NORTH AMERICA,1203177,5,2,5027845,8,NO,LOW
5257,AUTOMOTIVE,SOUTH AMERICA,1078747,24,10,5047142,9,YES,MEDIUM
5258,EDUCATION,NORTH AMERICA,1038612,27,17,4903044,6,YES,MEDIUM
5259,EDUCATION,NORTH AMERICA,301514,32,40,5006432,2,NO,LOW
5260,TELECOM,ASIA,732260,4,5,5031199,2,NO,LOW
5261,FINANCIAL SERVICES,EUROPE,896137,12,10,5003394,3,NO,LOW
5262,ECOMMERCE,NORTH AMERICA,1399631,48,37,4993966,5,YES,HIGH
5263,TELECOM,ASIA,435651,39,9,4963504,6,YES,HIGH
5264,AUTOMOTIVE,NORTH AMERICA,927199,19,31,5042873,6,YES,MEDIUM
5265,TELECOM,AFRICA,1139680,49,18,5076657,2,YES,MEDIUM
5266,TELECOM,AFRICA,784486,22,49,4983335,4,NO,LOW
5267,OTHER,ASIA,1072105,12,8,4931095,9,NO,LOW
5268,OTHER,AFRICA,486485,10,35,4957699,8,YES,MEDIUM
5269,EDUCATION,AFRICA,1179584,3,32,4990371,2,NO,LOW
5270,EDUCATION,SOUTH AMERICA,721063,10,6,5022085,8,YES,MEDIUM
5271,AUTOMOTIVE,AFRICA,844643,41,22,4944626,0,NO,LOW
5272,ECOMMERCE,ASIA,1483844,32,4,4987143,2,YES,LOW
5273,EDUCATION,SOUTH AMERICA,818513,32,48,5099121,9,YES,HIGH
5274,EDUCATION,NORTH AMERICA,772393,26,13,5000358,4,NO,LOW
5275,EDUCATION,EUROPE,1296812,4,47,4998149,4,NO,LOW
5276,FINANCIAL SERVICES,AFRICA,418221,18,29,4959716,0,YES,MEDIUM
5277,FINANCIAL SERVICES,SOUTH AMERICA,1384243,10,2,5037556,2,YES,MEDIUM
5278,EDUCATION,AFRICA,436589,46,32,4976125,1,NO,LOW
5279,TELECOM,NORTH AMERICA,1438542,35,9,5056397,7,YES,HIGH
5280,AUTOMOTIVE,SOUTH AMERICA,590702,38,49,5030170,7,YES,HIGH
5281,AUTOMOTIVE,EUROPE,67362,4,7,5017329,1,NO,LOW
5282,FINANCIAL SERVICES,AFRICA,487047,40,39,4973853,0,YES,MEDIUM
5283,ECOMMERCE,NORTH AMERICA,398839,41,37,5012911,4,YES,HIGH
5284,EDUCATION,SOUTH AMERICA,37770,0,3,5081536,2,YES,MEDIUM
5285,AUTOMOTIVE,ASIA,99704,17,30,4945869,8,YES,MEDIUM
5286,HEALTHCARE,SOUTH AMERICA,1128115,5,41,4961697,9,NO,MEDIUM
5287,ECOMMERCE,SOUTH AMERICA,787090,41,18,4934015,8,YES,HIGH
5288,EDUCATION,ASIA,1257747,20,38,4931786,1,YES,LOW
5289,EDUCATION,ASIA,859015,18,15,4933267,4,YES,LOW
5290,OTHER,AFRICA,917237,26,44,5040230,0,YES,LOW
5291,FINANCIAL SERVICES,SOUTH AMERICA,507570,22,29,4993498,9,NO,HIGH
5292,FINANCIAL SERVICES,AFRICA,1397935,19,0,4972170,0,YES,LOW
5293,ECOMMERCE,EUROPE,915639,7,44,4999883,1,YES,MEDIUM
5294,ECOMMERCE,NORTH AMERICA,60444,33,35,5026680,0,NO,MEDIUM
5295,EDUCATION,SOUTH AMERICA,851076,17,24,5012148,4,YES,MEDIUM
5296,ECOMMERCE,NORTH AMERICA,972698,21,42,5053039,5,NO,LOW
5297,HEALTHCARE,AFRICA,1216974,4,2,5047127,4,NO,LOW
5298,OTHER,NORTH AMERICA,1442357,0,49,5055581,9,NO,LOW
5299,FINANCIAL SERVICES,EUROPE,1081031,38,17,4927675,5,NO,MEDIUM
5300,HEALTHCARE,AFRICA,1373291,27,37,4973622,9,NO,LOW
5301,ECOMMERCE,NORTH AMERICA,1154892,41,2,4929799,1,NO,LOW
5302,ECOMMERCE,ASIA,332579,0,6,5040613,5,NO,LOW
5303,AUTOMOTIVE,EUROPE,1505479,17,31,5076519,6,YES,LOW
5304,AUTOMOTIVE,EUROPE,1307456,4,45,5029109,0,YES,LOW
5305,TELECOM,EUROPE,710170,18,4,5019319,9,NO,MEDIUM
5306,HEALTHCARE,ASIA,113973,41,2,4980730,0,NO,MEDIUM
5307,HEALTHCARE,SOUTH AMERICA,947274,49,10,5043390,1,NO,MEDIUM
5308,TELECOM,AFRICA,1246914,36,17,4960070,2,NO,LOW
5309,OTHER,SOUTH AMERICA,800459,16,39,5001454,9,NO,MEDIUM
5310,HEALTHCARE,AFRICA,953340,31,23,4975683,9,YES,MEDIUM
5311,FINANCIAL SERVICES,NORTH AMERICA,796114,3,12,4973924,6,NO,MEDIUM
5312,AUTOMOTIVE,ASIA,1353965,14,48,5067282,8,NO,LOW
5313,FINANCIAL SERVICES,ASIA,858246,39,26,4975286,0,YES,MEDIUM
5314,FINANCIAL SERVICES,ASIA,1256239,11,27,5019052,1,NO,LOW
5315,ECOMMERCE,NORTH AMERICA,630496,47,7,5018866,5,NO,MEDIUM
5316,TELECOM,ASIA,930408,5,46,4994999,4,YES,MEDIUM
5317,EDUCATION,SOUTH AMERICA,247968,17,43,5040327,1,YES,MEDIUM
5318,TELECOM,NORTH AMERICA,335244,32,9,4923763,8,YES,HIGH
5319,HEALTHCARE,ASIA,1168207,43,14,5051207,5,YES,MEDIUM
5320,ECOMMERCE,EUROPE,1350297,11,7,4995322,5,YES,MEDIUM
5321,TELECOM,ASIA,892246,15,11,4988700,6,NO,LOW
5322,ECOMMERCE,AFRICA,1193255,7,33,5079759,4,NO,LOW
5323,TELECOM,NORTH AMERICA,489874,7,28,4984762,9,NO,MEDIUM
5324,TELECOM,AFRICA,987739,37,21,4968075,1,NO,LOW
5325,ECOMMERCE,EUROPE,954015,1,0,5021984,8,YES,MEDIUM
5326,OTHER,ASIA,697492,36,13,4982711,4,NO,LOW
5327,TELECOM,EUROPE,834803,1,8,4966698,2,NO,LOW
5328,FINANCIAL SERVICES,AFRICA,1261984,40,3,4995604,6,NO,LOW
5329,ECOMMERCE,AFRICA,524484,23,40,4947226,6,NO,LOW
5330,AUTOMOTIVE,SOUTH AMERICA,618236,39,32,4993603,1,YES,MEDIUM
5331,HEALTHCARE,ASIA,434807,13,43,5020495,0,NO,LOW
5332,EDUCATION,NORTH AMERICA,443800,5,33,5016020,3,YES,MEDIUM
5333,AUTOMOTIVE,EUROPE,139607,2,43,5073828,8,NO,LOW
5334,FINANCIAL SERVICES,EUROPE,980134,45,30,5015757,1,NO,MEDIUM
5335,HEALTHCARE,EUROPE,1007187,43,34,5022341,4,YES,HIGH
5336,TELECOM,ASIA,517726,0,2,5038202,3,NO,LOW
5337,TELECOM,SOUTH AMERICA,640790,49,9,5018403,4,NO,MEDIUM
5338,ECOMMERCE,NORTH AMERICA,769242,30,14,5141798,1,YES,MEDIUM
5339,ECOMMERCE,SOUTH AMERICA,672397,30,29,4994689,1,YES,MEDIUM
5340,ECOMMERCE,SOUTH AMERICA,755091,36,26,5048673,8,NO,MEDIUM
5341,HEALTHCARE,ASIA,729128,32,46,4988250,3,YES,MEDIUM
5342,FINANCIAL SERVICES,NORTH AMERICA,1395872,36,0,4972919,7,YES,HIGH
5343,HEALTHCARE,NORTH AMERICA,1493508,36,12,5065482,0,NO,LOW
5344,OTHER,EUROPE,1250016,41,37,4973412,3,NO,LOW
5345,EDUCATION,SOUTH AMERICA,409023,2,22,5093359,9,NO,LOW
5346,FINANCIAL SERVICES,NORTH AMERICA,1477854,13,38,5074209,3,NO,LOW
5347,OTHER,AFRICA,379527,7,6,4993756,1,NO,LOW
5348,TELECOM,EUROPE,1438264,28,3,5077561,0,NO,LOW
5349,HEALTHCARE,NORTH AMERICA,857381,38,41,5034470,8,YES,HIGH
5350,TELECOM,EUROPE,514159,21,21,4973298,5,NO,MEDIUM
5351,HEALTHCARE,SOUTH AMERICA,429193,46,14,5013396,9,NO,HIGH
5352,ECOMMERCE,ASIA,1372239,25,8,5041574,4,YES,MEDIUM
5353,FINANCIAL SERVICES,NORTH AMERICA,1150856,37,35,5013297,5,NO,MEDIUM
5354,HEALTHCARE,ASIA,1496115,26,7,5035840,7,YES,MEDIUM
5355,EDUCATION,SOUTH AMERICA,464375,23,41,5067371,1,NO,LOW
5356,HEALTHCARE,EUROPE,248494,26,47,5016531,4,YES,HIGH
5357,FINANCIAL SERVICES,NORTH AMERICA,743497,36,45,4978660,1,NO,MEDIUM
5358,AUTOMOTIVE,SOUTH AMERICA,1344693,19,16,5059399,1,NO,LOW
5359,OTHER,NORTH AMERICA,1075975,0,38,5027144,9,NO,LOW
5360,OTHER,EUROPE,1455314,1,3,4979149,4,NO,LOW
5361,OTHER,ASIA,620543,24,24,4940544,5,YES,MEDIUM
5362,HEALTHCARE,SOUTH AMERICA,559394,15,46,5009863,7,YES,HIGH
5363,HEALTHCARE,ASIA,1393652,37,1,5028680,0,YES,MEDIUM
5364,AUTOMOTIVE,AFRICA,994086,38,24,5064810,4,YES,LOW
5365,EDUCATION,ASIA,75644,0,17,5040097,9,NO,LOW
5366,FINANCIAL SERVICES,SOUTH AMERICA,357772,2,4,5001499,6,YES,HIGH
5367,FINANCIAL SERVICES,NORTH AMERICA,890621,12,47,5044041,1,YES,MEDIUM
5368,ECOMMERCE,EUROPE,1299497,24,40,4994023,6,YES,MEDIUM
5369,FINANCIAL SERVICES,SOUTH AMERICA,1474871,40,42,4988388,7,NO,MEDIUM
5370,HEALTHCARE,ASIA,396761,45,5,5070761,9,NO,MEDIUM
5371,HEALTHCARE,EUROPE,1159647,26,1,5083952,6,NO,LOW
5372,ECOMMERCE,EUROPE,29802,11,0,5012365,0,NO,LOW
5373,ECOMMERCE,EUROPE,410642,2,26,5010711,3,NO,LOW
5374,HEALTHCARE,ASIA,1251003,10,6,4963178,3,YES,LOW
5375,FINANCIAL SERVICES,NORTH AMERICA,765170,19,35,4959114,7,NO,MEDIUM
5376,FINANCIAL SERVICES,AFRICA,996086,1,12,4992583,2,NO,LOW
5377,ECOMMERCE,SOUTH AMERICA,512732,49,4,4933407,0,YES,HIGH
5378,HEALTHCARE,NORTH AMERICA,1498929,36,47,5066996,9,NO,MEDIUM
5379,ECOMMERCE,NORTH AMERICA,969378,11,46,5031878,7,NO,LOW
5380,EDUCATION,NORTH AMERICA,64370,36,27,4996875,4,YES,HIGH
5381,HEALTHCARE,ASIA,380494,18,32,4911348,6,YES,HIGH
5382,TELECOM,AFRICA,1220559,8,34,4983667,4,YES,LOW
5383,AUTOMOTIVE,EUROPE,767175,7,21,4953028,0,YES,LOW
5384,TELECOM,SOUTH AMERICA,1203011,49,37,4934561,5,NO,MEDIUM
5385,HEALTHCARE,NORTH AMERICA,1001254,31,18,4919632,8,NO,MEDIUM
5386,HEALTHCARE,NORTH AMERICA,1015940,9,18,4996376,9,NO,MEDIUM
5387,AUTOMOTIVE,ASIA,876256,39,10,5069078,0,YES,LOW
5388,HEALTHCARE,NORTH AMERICA,1006744,4,49,4935846,8,YES,HIGH
5389,OTHER,NORTH AMERICA,1376004,30,35,5023907,3,YES,MEDIUM
5390,ECOMMERCE,AFRICA,493610,0,11,5056142,9,NO,LOW
5391,OTHER,ASIA,215184,13,32,4998364,7,NO,LOW
5392,TELECOM,NORTH AMERICA,721677,44,35,4995944,3,YES,HIGH
5393,FINANCIAL SERVICES,AFRICA,1170678,4,16,4993637,8,YES,MEDIUM
5394,EDUCATION,AFRICA,655756,6,7,5006173,3,NO,LOW
5395,AUTOMOTIVE,EUROPE,998005,20,4,5008375,7,NO,LOW
5396,TELECOM,EUROPE,137770,31,49,4981043,9,NO,MEDIUM
5397,FINANCIAL SERVICES,NORTH AMERICA,414826,10,40,4896578,3,YES,HIGH
5398,HEALTHCARE,ASIA,1338882,19,49,4955689,6,NO,LOW
5399,OTHER,EUROPE,293465,19,38,4983895,9,NO,MEDIUM
5400,ECOMMERCE,EUROPE,1382044,5,6,5030500,3,NO,LOW
5401,OTHER,EUROPE,945745,26,16,4899475,8,YES,MEDIUM
5402,EDUCATION,ASIA,1008056,17,38,4908990,6,YES,MEDIUM
5403,AUTOMOTIVE,ASIA,858619,31,31,5015352,0,YES,LOW
5404,HEALTHCARE,SOUTH AMERICA,647210,43,35,4929876,4,NO,MEDIUM
5405,FINANCIAL SERVICES,AFRICA,976629,33,11,4990136,3,NO,LOW
5406,HEALTHCARE,SOUTH AMERICA,1436876,1,13,5063396,4,NO,LOW
5407,EDUCATION,EUROPE,375883,18,9,4933915,6,YES,MEDIUM
5408,EDUCATION,AFRICA,800897,19,40,5032571,0,NO,LOW
5409,EDUCATION,SOUTH AMERICA,281862,30,11,4967706,7,NO,MEDIUM
5410,AUTOMOTIVE,NORTH AMERICA,1032035,29,1,4982497,4,NO,LOW
5411,FINANCIAL SERVICES,AFRICA,1252582,43,33,5015393,0,YES,MEDIUM
5412,EDUCATION,NORTH AMERICA,886710,3,11,4909014,3,NO,LOW
5413,OTHER,SOUTH AMERICA,1174716,6,46,4909958,8,YES,MEDIUM
5414,EDUCATION,EUROPE,1083079,18,49,5012925,2,YES,LOW
5415,HEALTHCARE,AFRICA,339019,48,26,4995267,0,NO,LOW
5416,OTHER,EUROPE,1119979,25,20,4994340,7,YES,MEDIUM
5417,HEALTHCARE,AFRICA,581923,24,43,5021878,8,NO,LOW
5418,FINANCIAL SERVICES,EUROPE,224510,45,7,4952018,8,NO,HIGH
5419,OTHER,AFRICA,59390,12,20,5065363,8,NO,LOW
5420,HEALTHCARE,EUROPE,256692,1,6,4958432,0,YES,MEDIUM
5421,TELECOM,AFRICA,982841,32,10,5038755,9,YES,MEDIUM
5422,TELECOM,SOUTH AMERICA,1181949,26,22,4972419,5,YES,MEDIUM
5423,AUTOMOTIVE,AFRICA,1069459,35,39,5115452,5,YES,LOW
5424,EDUCATION,EUROPE,241738,40,25,5023053,9,NO,MEDIUM
5425,OTHER,NORTH AMERICA,305428,25,16,5010932,7,YES,HIGH
5426,EDUCATION,NORTH AMERICA,1438910,42,46,5016503,4,NO,LOW
5427,HEALTHCARE,ASIA,829932,29,47,4992302,0,NO,LOW
5428,OTHER,SOUTH AMERICA,196693,27,6,4934461,5,NO,MEDIUM
5429,ECOMMERCE,NORTH AMERICA,1212100,46,17,4949411,4,NO,MEDIUM
5430,ECOMMERCE,SOUTH AMERICA,1193372,41,21,4950406,1,NO,LOW
5431,AUTOMOTIVE,NORTH AMERICA,1225411,5,35,5037476,3,YES,LOW
5432,EDUCATION,NORTH AMERICA,990262,23,5,4962401,1,NO,LOW
5433,OTHER,SOUTH AMERICA,484073,40,26,4939834,3,YES,HIGH
5434,HEALTHCARE,AFRICA,1071672,26,2,5083306,1,YES,LOW
5435,FINANCIAL SERVICES,SOUTH AMERICA,1244057,37,19,4906619,2,YES,HIGH
5436,AUTOMOTIVE,EUROPE,86548,48,17,4979896,3,NO,MEDIUM
5437,FINANCIAL SERVICES,ASIA,1367158,42,8,4907503,7,NO,MEDIUM
5438,HEALTHCARE,NORTH AMERICA,1183976,17,46,5046443,3,NO,LOW
5439,OTHER,ASIA,504423,1,21,5062310,5,NO,LOW
5440,AUTOMOTIVE,EUROPE,300183,39,42,4967186,9,NO,MEDIUM
5441,FINANCIAL SERVICES,NORTH AMERICA,737840,3,12,5039661,4,YES,MEDIUM
5442,FINANCIAL SERVICES,EUROPE,1041548,41,3,4986483,9,NO,MEDIUM
5443,ECOMMERCE,NORTH AMERICA,1114426,13,37,4928873,4,NO,LOW
5444,OTHER,ASIA,1137890,35,15,5013565,7,YES,MEDIUM
5445,EDUCATION,NORTH AMERICA,592442,19,34,4958608,9,NO,MEDIUM
5446,TELECOM,AFRICA,1395812,49,10,5010000,0,NO,LOW
5447,OTHER,EUROPE,551526,9,21,4933154,1,YES,MEDIUM
5448,ECOMMERCE,NORTH AMERICA,108816,37,33,4923150,2,NO,MEDIUM
5449,TELECOM,AFRICA,388072,49,22,4951836,8,YES,HIGH
5450,ECOMMERCE,ASIA,174941,27,24,4967789,9,YES,HIGH
5451,ECOMMERCE,NORTH AMERICA,257422,25,14,4969032,2,YES,HIGH
5452,FINANCIAL SERVICES,ASIA,51146,2,43,4977117,5,YES,HIGH
5453,EDUCATION,AFRICA,388389,9,29,4986621,1,NO,LOW
5454,ECOMMERCE,AFRICA,1484168,27,28,5062021,6,NO,LOW
5455,OTHER,SOUTH AMERICA,1310173,11,32,5065003,8,NO,LOW
5456,OTHER,AFRICA,541152,10,41,5109584,5,NO,LOW
5457,ECOMMERCE,AFRICA,1014624,22,2,5027788,8,YES,MEDIUM
5458,ECOMMERCE,ASIA,1146809,48,21,4940180,2,YES,MEDIUM
5459,EDUCATION,EUROPE,1086239,11,25,4958269,2,YES,LOW
5460,AUTOMOTIVE,EUROPE,857937,6,25,5060757,4,YES,LOW
5461,TELECOM,AFRICA,980013,13,25,4921399,7,YES,MEDIUM
5462,TELECOM,SOUTH AMERICA,1023289,7,25,5047042,6,YES,MEDIUM
5463,TELECOM,EUROPE,870922,34,27,4962116,8,YES,HIGH
5464,EDUCATION,AFRICA,244609,0,48,4917476,4,NO,LOW
5465,ECOMMERCE,NORTH AMERICA,1460347,47,3,4946821,4,NO,LOW
5466,EDUCATION,ASIA,1107791,2,28,5045407,4,NO,LOW
5467,EDUCATION,AFRICA,119623,9,27,5059241,4,YES,MEDIUM
5468,OTHER,AFRICA,1091355,48,30,5053098,8,YES,MEDIUM
5469,ECOMMERCE,EUROPE,307814,9,3,4982236,9,YES,HIGH
5470,EDUCATION,NORTH AMERICA,731531,48,45,5012579,9,NO,MEDIUM
5471,HEALTHCARE,AFRICA,567373,4,35,4977827,2,NO,LOW
5472,FINANCIAL SERVICES,EUROPE,1486814,35,26,5013335,3,YES,MEDIUM
5473,FINANCIAL SERVICES,AFRICA,383221,1,48,5102255,0,NO,LOW
5474,OTHER,SOUTH AMERICA,591730,13,4,5011573,9,NO,MEDIUM
5475,AUTOMOTIVE,ASIA,445629,34,35,5018058,8,NO,LOW
5476,EDUCATION,ASIA,120568,12,41,4974920,0,YES,LOW
5477,TELECOM,EUROPE,1349926,13,41,5053368,6,NO,LOW
5478,ECOMMERCE,NORTH AMERICA,765443,39,12,4989421,6,NO,MEDIUM
5479,AUTOMOTIVE,EUROPE,1033963,3,12,5016857,7,YES,MEDIUM
5480,HEALTHCARE,ASIA,804595,40,32,4947946,0,NO,LOW
5481,EDUCATION,NORTH AMERICA,1460221,28,33,5007076,5,NO,LOW
5482,OTHER,EUROPE,1194470,30,28,5067110,5,YES,MEDIUM
5483,OTHER,EUROPE,1246600,33,34,4897129,8,NO,LOW
5484,HEALTHCARE,ASIA,570167,30,19,4961481,6,NO,MEDIUM
5485,ECOMMERCE,EUROPE,466272,28,22,5004763,2,NO,LOW
5486,AUTOMOTIVE,AFRICA,484835,13,46,4934319,8,NO,LOW
5487,OTHER,SOUTH AMERICA,335325,15,47,4940486,1,NO,LOW
5488,TELECOM,ASIA,549694,46,39,5062344,9,NO,MEDIUM
5489,AUTOMOTIVE,AFRICA,367858,22,40,4923328,9,YES,MEDIUM
5490,TELECOM,ASIA,644248,37,31,4869548,0,YES,MEDIUM
5491,EDUCATION,ASIA,1105961,2,28,5081046,4,NO,LOW
5492,HEALTHCARE,NORTH AMERICA,1487396,43,30,4974978,0,YES,MEDIUM
5493,EDUCATION,NORTH AMERICA,1163686,11,2,5084052,9,NO,LOW
5494,FINANCIAL SERVICES,SOUTH AMERICA,567216,29,40,4969429,1,NO,MEDIUM
5495,AUTOMOTIVE,SOUTH AMERICA,95665,26,21,5024712,5,YES,HIGH
5496,TELECOM,NORTH AMERICA,627893,23,21,4911730,1,NO,LOW
5497,EDUCATION,NORTH AMERICA,160856,32,0,5038895,1,YES,MEDIUM
5498,EDUCATION,ASIA,640191,21,31,5052691,3,YES,MEDIUM
5499,EDUCATION,EUROPE,437724,41,37,4910659,9,NO,MEDIUM
5500,TELECOM,SOUTH AMERICA,67778,3,34,5069986,7,NO,MEDIUM
5501,FINANCIAL SERVICES,SOUTH AMERICA,591310,33,16,4946316,9,NO,HIGH
5502,HEALTHCARE,AFRICA,1315721,16,16,4988262,4,YES,LOW
5503,TELECOM,AFRICA,1197712,0,39,4913469,4,NO,LOW
5504,EDUCATION,ASIA,19116,31,32,4995117,5,YES,MEDIUM
5505,TELECOM,AFRICA,177386,7,42,4926110,6,NO,LOW
5506,OTHER,SOUTH AMERICA,400246,42,41,5040413,3,NO,MEDIUM
5507,HEALTHCARE,SOUTH AMERICA,1481486,14,46,5037889,0,NO,LOW
5508,HEALTHCARE,ASIA,1136318,45,18,4948343,9,YES,HIGH
5509,HEALTHCARE,AFRICA,800660,39,7,4992231,4,NO,LOW
5510,HEALTHCARE,AFRICA,889087,38,21,5056250,0,YES,MEDIUM
5511,HEALTHCARE,ASIA,367868,28,10,4994028,5,NO,MEDIUM
5512,FINANCIAL SERVICES,SOUTH AMERICA,697857,42,43,5050826,0,NO,MEDIUM
5513,HEALTHCARE,NORTH AMERICA,795722,32,0,5027260,4,YES,HIGH
5514,ECOMMERCE,SOUTH AMERICA,216961,22,40,4932325,6,YES,HIGH
5515,OTHER,SOUTH AMERICA,1256565,25,46,4899787,4,NO,LOW
5516,EDUCATION,SOUTH AMERICA,1139961,37,33,5015884,2,YES,MEDIUM
5517,AUTOMOTIVE,EUROPE,85280,26,42,4987732,4,NO,LOW
5518,HEALTHCARE,SOUTH AMERICA,1022366,13,34,4968728,4,NO,LOW
5519,OTHER,NORTH AMERICA,500613,43,1,5097789,7,NO,MEDIUM
5520,FINANCIAL SERVICES,ASIA,36088,4,11,5015194,9,YES,HIGH
5521,ECOMMERCE,SOUTH AMERICA,416884,29,45,5005054,3,NO,MEDIUM
5522,EDUCATION,EUROPE,587854,46,6,5090348,6,YES,HIGH
5523,AUTOMOTIVE,ASIA,521573,26,1,5067156,8,NO,LOW
5524,EDUCATION,AFRICA,54272,38,30,4836587,6,YES,MEDIUM
5525,TELECOM,AFRICA,1495134,23,36,4986592,8,YES,MEDIUM
5526,AUTOMOTIVE,NORTH AMERICA,376632,48,3,5108858,7,NO,MEDIUM
5527,TELECOM,AFRICA,1179175,26,22,5025069,1,NO,LOW
5528,OTHER,SOUTH AMERICA,469098,1,25,4970617,7,YES,MEDIUM
5529,TELECOM,SOUTH AMERICA,679155,33,7,5022866,1,YES,HIGH
5530,FINANCIAL SERVICES,SOUTH AMERICA,852585,29,44,5023966,6,NO,MEDIUM
5531,FINANCIAL SERVICES,SOUTH AMERICA,1243677,7,15,5023649,8,YES,HIGH
5532,TELECOM,NORTH AMERICA,1393478,38,26,5043586,8,YES,HIGH
5533,TELECOM,AFRICA,496865,18,21,4952412,1,YES,MEDIUM
5534,ECOMMERCE,ASIA,1056603,19,18,5073740,5,YES,MEDIUM
5535,FINANCIAL SERVICES,NORTH AMERICA,664993,31,41,4903113,4,YES,HIGH
5536,AUTOMOTIVE,SOUTH AMERICA,412471,22,49,5046546,1,YES,MEDIUM
5537,ECOMMERCE,NORTH AMERICA,1285019,17,3,4994259,9,YES,MEDIUM
5538,EDUCATION,AFRICA,1402804,0,22,5094816,9,YES,LOW
5539,FINANCIAL SERVICES,AFRICA,293273,2,8,4989562,5,NO,LOW
5540,AUTOMOTIVE,SOUTH AMERICA,659555,12,10,5077116,6,YES,MEDIUM
5541,TELECOM,SOUTH AMERICA,1016562,5,4,5014582,7,NO,LOW
5542,AUTOMOTIVE,AFRICA,744352,15,15,5011667,7,YES,LOW
5543,TELECOM,EUROPE,863094,39,20,5070977,4,YES,HIGH
5544,ECOMMERCE,NORTH AMERICA,1452862,47,49,5026389,1,NO,LOW
5545,AUTOMOTIVE,ASIA,992531,15,49,5029820,0,YES,LOW
5546,EDUCATION,ASIA,536641,11,32,5093854,1,YES,LOW
5547,EDUCATION,ASIA,144926,9,11,4992141,2,YES,MEDIUM
5548,FINANCIAL SERVICES,AFRICA,716361,20,38,5029291,2,YES,MEDIUM
5549,AUTOMOTIVE,AFRICA,525001,17,4,4959384,7,NO,LOW
5550,ECOMMERCE,SOUTH AMERICA,1125950,37,30,4942451,6,NO,MEDIUM
5551,AUTOMOTIVE,AFRICA,1008525,39,26,5018896,8,YES,MEDIUM
5552,TELECOM,ASIA,486103,22,13,5004167,6,YES,MEDIUM
5553,HEALTHCARE,EUROPE,1241878,15,5,4975461,3,NO,LOW
5554,ECOMMERCE,AFRICA,839300,1,33,4974939,7,NO,LOW
5555,EDUCATION,NORTH AMERICA,817846,46,6,5051004,7,YES,HIGH
5556,TELECOM,NORTH AMERICA,331056,14,32,5036785,8,NO,MEDIUM
5557,FINANCIAL SERVICES,EUROPE,1281751,11,49,5003822,4,NO,LOW
5558,TELECOM,NORTH AMERICA,802486,2,23,5086130,3,YES,MEDIUM
5559,TELECOM,NORTH AMERICA,751885,29,1,4969569,4,YES,HIGH
5560,FINANCIAL SERVICES,AFRICA,222185,10,30,4992735,7,NO,LOW
5561,TELECOM,ASIA,963502,8,38,5005196,7,NO,LOW
5562,TELECOM,EUROPE,893967,11,4,4972273,8,NO,LOW
5563,OTHER,ASIA,1202264,25,17,5059975,0,NO,LOW
5564,EDUCATION,SOUTH AMERICA,329841,40,31,4996372,5,NO,MEDIUM
5565,AUTOMOTIVE,NORTH AMERICA,1114224,30,27,5046706,6,NO,LOW
